šifra,naziv,grupa,kolicina,nabavna_cijena,marza,cijena,rabat
5863,CANON LIDE 700F SKENER,PC,1,780.00,23.45,999.00,17.00
5864,ASUS X551CA-SX032D,PC,2,1760.00,31.77,2899.00,0.00
5865,FUJITSU AGYG12LVCA UNUTARNJA,KLIMA,1,4240.00,33.33,5300.00,25.00
5867,FUJITSU AOYG09LLC VANJSKA,KLIMA,2,1870.00,71.12,3000.00,25.00
5868,HZ 550 E + 2y JAMSTVO,AUDIOVIDEO PROGRAM,1,146.00,0.00,182.50,0.00
5869,MEANIT AUTO PUNJAČ USBx2 CRVENI,MOBITELI,2,27.44,72.01,59.00,0.00
5870,MEANIT MICRO SD 4 GB + ADAPTER,MOBITELI,0,0.00,0.00,59.00,0.00
5871,MEANIT TORBICA SMARTPHONE S BIJELA,MOBITELI,1,39.20,72.01,49.00,30.00
5872,MEANIT TORBICA SMART. 1L CRNA,MOBITELI,2,27.44,72.01,59.00,0.00
5873,MEANIT TORBICA SMART. 1S CRNA,MOBITELI,1,39.20,72.01,49.00,30.00
5874,MEANIT TORBICA SMART. 2S CRNA,MOBITELI,1,39.20,72.01,59.00,30.00
5875,MEANIT TORBICA SMART. S CRVENA,MOBITELI,0,27.44,0.00,49.00,0.00
5876,MEANIT AUTO PUNJAČ iPHONE,MOBITELI,5,33.04,110.18,79.00,9.00
5877,MEANIT KABEL USB NA MICRO USB,MOBITELI,2,31.20,66.67,39.00,40.00
5878,MEANIT KUĆNI PUNJAČ USB MICRO USB,MOBITELI,0,0.00,0.00,49.00,0.00
5879,MEANIT TORBICA SMART. XL BIJELA,MOBITELI,1,39.20,72.01,59.00,30.00
5880,MEANIT TORBICA SMART. 3S CRNA-PLAVA,MOBITELI,1,39.20,72.01,59.00,30.00
5881,MEANIT TORBICA SMART. 3M CRNA-PLAVA,MOBITELI,1,39.20,72.01,59.00,30.00
5882,MEANIT TORBICA SMART. 3L CRNA-PLAVA,MOBITELI,1,39.20,72.01,59.00,30.00
5883,MEANIT TORBICA SMART. 3XL CRNA-PLAVA,MOBITELI,1,39.20,72.01,59.00,30.00
5884,MEANIT TORBICA SMART. 4S CRNA-SREBRNA,MOBITELI,1,39.20,72.01,49.00,30.00
5885,MEANIT TORBICA SMART. 4M CRNA-SREBRNA,MOBITELI,1,39.20,72.01,59.00,30.00
5886,MEANIT TORBICA SMART. 4L CRNA-SREBRNA,MOBITELI,1,39.20,72.01,59.00,30.00
5887,MEANIT TORBICA SMART. 4XL,PC,1,39.20,72.01,59.00,30.00
5888,MEANIT ZVUČNIK FN 25 CRNI,MOBITELI,0,0.00,0.00,149.00,0.00
